净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,net_return,industry_peers,positive_comp,negative_comp,index_peers,rolling_mean,comp_mean,rolling_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2022-10-28,1.071,3.632,-0.46%,开放申购,开放赎回,,-0.0013747594171019673,0.962374138844727,-0.0014307594171019673,0,0,0,0,-0.00014706315125250847,,-0.041326369395678096,0,0.0,-10.257312269876156,0.0002600291457668269,0.020467940727507718,0.593999981880188,2.72,25.05,2.17,-1.68,0.058701342740702274,0.2406008088043565
2022-10-31,1.086,3.647,1.40%,开放申购,开放赎回,,0.004129955947136388,0.9686586985391753,0.004073955947136388,0,0,0,0,-0.00012100437674854181,,-0.03393334715439876,0,0.0,-9.886678922973127,0.00024154648588530758,0.0215562885747313,0.5860000252723694,2.72,25.05,1.94,-1.34,0.058942526992628176,0.23829745754034162
2022-11-01,1.089,3.65,0.28%,开放申购,开放赎回,,0.0008225939128050364,0.9691980881571953,0.0007665939128050364,0,0,0,0,-0.00011877641809599382,,-0.033304684699391594,0,0.0,-9.812552253592521,0.000254278933414868,0.0173368059908504,0.6209999918937683,2.72,25.05,1.51,-2.18,0.05871352309527661,0.25942086936921716
2022-11-02,1.077,3.638,-1.10%,开放申购,开放赎回,,-0.0032876712328767654,0.9639639639639637,-0.0033436712328767655,0,0,0,0,-0.00014042418215655017,,-0.03934441395220885,0,0.0,-10.109058931114966,0.00020961426061352946,0.014567940089057313,0.6370000243186951,2.72,25.05,0.83,-2.18,0.05870529088171908,0.26366630329641316
2022-11-03,1.085,3.646,0.74%,开放申购,开放赎回,,0.0021990104452995762,0.965316388668254,0.002143010445299576,0,0,0,0,-0.00013480779061382587,,-0.037743607265423244,0,0.0,-9.911387812766677,0.0001951497607423756,0.009967067514488115,0.6290000081062317,2.72,25.05,0.19,-2.88,0.05858669229079298,0.2633337695485118
2022-11-04,1.091,3.652,0.55%,开放申购,开放赎回,,0.001645639056500281,0.968443383717846,0.001589639056500281,0,0,0,0,-0.00012187098498353554,,-0.03411612158145164,0,0.0,-9.763134474005456,0.00024504683400560466,0.0075769945446453515,0.6579999923706055,2.72,25.05,0.19,-3.94,0.057325281248690664,0.27445558199273223
2022-11-07,1.075,3.636,-1.47%,开放申购,开放赎回,,-0.004381161007667056,0.968566862013852,-0.004437161007667056,0,0,0,0,-0.00012136327685297354,,-0.03397984051345989,0,0.0,-10.158476710702043,0.0001733510921624478,0.005844548563828907,0.6620000004768372,2.72,25.05,-0.77,-3.94,0.056569218093113494,0.2730371658191458
2022-11-08,1.069,3.63,-0.56%,开放申购,开放赎回,,-0.0016501650165017256,0.9692923898531371,-0.0017061650165017257,0,0,0,0,-0.00011837416600795248,,-0.03315773169472091,0,0.0,-10.306730049463265,3.313278549373124e-05,-0.00038134991751022536,0.6510000228881836,2.72,25.05,-2.68,-3.94,0.056518397466451056,0.26992103418200997
2022-11-09,1.065,3.626,-0.37%,开放申购,开放赎回,,-0.001101928374655614,0.9638490164805955,-0.0011579283746556142,0,0,0,0,-0.0001409394228977634,,-0.03960830879214686,0,0.0,-10.40556560863741,-1.347526015885501e-05,-0.0018721933626045554,0.640999972820282,2.72,25.05,-3.26,-3.53,0.056269886077003804,0.27027209099424127
2022-11-10,1.055,3.616,-0.94%,开放申购,开放赎回,,-0.0027578599007169746,0.9645238730328084,-0.0028138599007169747,0,0,0,0,-0.0001381484276255649,,-0.03884937117107586,0,0.0,-10.652654506572764,-6.481454943219784e-05,-0.0026039341565516176,0.6499999761581421,2.72,25.05,-3.92,-3.25,0.055378742773748546,0.2716337140515822
2022-11-11,1.059,3.62,0.38%,开放申购,开放赎回,,0.0011061946902655162,0.9673971138428648,0.0010501946902655161,0,0,0,0,-0.0001262549905556205,,-0.035513055721635337,0,0.0,-10.55381894739862,-2.8003042624393824e-05,-0.005172088248882782,0.6660000085830688,2.72,25.05,-4.24,-4.63,0.05517304567693377,0.2689344251144516
2022-11-14,1.047,3.608,-1.13%,开放申购,开放赎回,,-0.0033149171270718814,0.9649638940893274,-0.0033709171270718814,0,0,0,0,-0.0001363078178025505,,-0.038282089176755886,0,0.0,-10.850325624921064,-5.781112572907233e-05,-0.008295794624027068,0.6650000214576721,2.72,25.05,-4.67,-4.63,0.0554158562184727,0.2688791530794966
2022-11-15,1.057,3.618,0.96%,开放申购,开放赎回,,0.0027716186252770836,0.9658302189001595,0.0027156186252770835,0,0,0,0,-0.00013270997662586038,,-0.03724567982799216,0,0.0,-10.603236726985708,-8.2674056643308e-05,-0.008564969081253974,0.6809999942779541,2.72,25.05,-4.67,-4.19,0.054063825193890434,0.27245828382491294
