净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,benchmark_name,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2023-03-21,1.0408,1.0904,-0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-0.00027505271843764056,0.010471689370772808,0.0,-0.0002910527184376406,119.8270034790039,0.0011582681386124172,4.179901325387281e-05,118.66578015136719,0.08225343322439368,-0.118930323818412,0,0.0,-0.027505271843767044,4.717285126543831e-05,1.6504454214809945,73.24,23.28,24.98,22.41,0.008051046414898297,0.015426975177653382,0.020378292532025038
2023-03-22,1.0409,1.0905,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.170946441661165e-05,0.010002778549597968,0.0,7.570946441661166e-05,119.87699890136719,-0.00032552054978496336,3.9941775492967405e-05,118.67881616210937,0.0787591604600709,-0.11880055337050235,0,0.0,-0.018336847895865056,3.351087855535376e-05,1.657075032722126,73.24,23.28,24.98,22.38,0.008034643713517729,0.015426497298214008,0.0202575169588318
2023-03-23,1.0408,1.0904,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.170105456213218e-05,0.009816632709764628,0.0,-0.00010770105456213217,119.85299682617188,0.00010852146865147905,3.9204497995104056e-05,118.68947613525391,0.07729669369046802,-0.11633995740698919,0,0.0,-0.0275052718437874,2.15650019848308e-05,1.618415344837232,73.24,23.28,24.71,22.38,0.008035544576015772,0.01542337342194948,0.01968378568997278
2023-03-24,1.0407,1.0903,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.170946441672267e-05,0.009724022967219748,0.0,-0.00010770946441672267,119.81500244140625,0.00022529875207977224,3.883766013743717e-05,118.70134014892578,0.07656415950505092,-0.10791902317205732,0,0.0,-0.036673695791709746,3.347043346449703e-05,1.6209146745140561,73.24,23.28,24.77,22.44,0.008036517092928474,0.01530748929686205,0.0194590435705361
2023-03-27,1.0411,1.0907,0.04%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00036687150325587226,0.010188015189405153,0.0,0.00035087150325587225,119.85299682617188,4.9762760682359186e-05,4.067558512064018e-05,118.71382412719727,0.0801317109448356,-0.11021886167228294,0,0.0,-2.035799073301838e-14,3.627274998737619e-05,1.6194945613915959,73.24,23.28,25.23,22.46,0.008042104801982766,0.015292874154747076,0.01942869922423415
2023-03-28,1.0411,1.0907,0.00%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.010188015189405153,0.0,-1.6e-05,119.84500122070312,6.671176925465705e-05,4.067558512064018e-05,118.72660412597656,0.0801317109448356,-0.10778865775672343,0,0.0,-2.035799073301838e-14,3.568065738555229e-05,1.6170665348744615,73.24,23.28,25.46,22.52,0.008042104801982766,0.015287973476217452,0.019412523004327557
2023-03-29,1.0414,1.091,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00027505271843764056,0.010278729511990159,0.0,0.00025905271843764055,119.91999816894531,-0.0003507301467489121,4.103484943516111e-05,118.73897210693359,0.08081814161033345,-0.11352447792862426,0,0.0,-0.0,3.125431895256433e-05,1.613403360920212,73.24,23.28,25.58,22.5,0.00804422704034229,0.015251935179261584,0.019367365640509206
2023-03-30,1.0415,1.0911,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.165902841434814e-05,0.010090723940013202,0.0,7.565902841434815e-05,119.7979965209961,0.001109017682617619,4.029027154752196e-05,118.7514241027832,0.07938473377200665,-0.1049616170534078,0,0.0,-0.0,3.5262893147490904e-05,1.609904089994882,73.24,23.28,25.67,22.88,0.008040879186296614,0.0152793123147699,0.019354219525475908
2023-03-31,1.042,1.0916,0.05%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0004582531390340261,0.010366530914478034,0.0,0.0004422531390340261,119.85199737548828,7.487215893275945e-06,4.1382680511730996e-05,118.76432409667969,0.08144018143721267,-0.111537780206125,0,0.0,-0.0,3.2059109001444636e-05,1.6082636760695317,73.24,23.28,25.71,22.55,0.008050451180603425,0.015199838212712825,0.01934777205533535
2023-04-03,1.0419,1.0915,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.160864785640044e-05,0.011397331356560958,0.0,-0.00010760864785640043,119.8740005493164,-0.00027519485676363864,4.5459044883652485e-05,118.77715209960938,0.0903869002885221,-0.11466370188503945,0,0.0,-0.009160864785634763,2.961907770974284e-05,1.6065031575313578,73.24,23.28,25.99,23.04,0.00796810684305255,0.015190188784700881,0.019346500320366337
2023-04-04,1.0418,1.0914,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.161704076954269e-05,0.011117287381877006,0.0,-0.00010761704076954269,119.91699981689453,-0.00045032090800589675,4.4351286876245675e-05,118.79003610229492,0.08818508058071363,-0.1211551079012891,0,0.0,-0.018321729571269527,2.9343384514242763e-05,1.606653946789826,73.24,23.28,25.87,22.18,0.007968038882075899,0.015150717662171007,0.019347610259367952
2023-04-05,1.0418,1.0914,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.011304670126019989,0.0,-1.6e-05,,-0.00045032090800589675,4.509243936837093e-05,,0.08969484707661125,-0.12884893407702389,0,0.0,-0.018321729571269527,,,73.24,23.28,25.71,22.58,0.007964831111934864,0.015090570985910247,
2023-04-06,1.0417,1.0913,-0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-9.162543522078792e-05,0.011024643320361571,0.0,-0.00010762543522078792,119.93800354003906,-0.00026677760861248956,4.3984647783159136e-05,118.80224411010742,0.08749218843145115,-0.12427601715485187,0,0.0,-0.02748259435690429,2.6214561525305966e-05,1.602893864028605,73.24,23.28,25.71,22.72,0.007964750468210267,0.015030195018440037,0.01928757847811921
2023-04-07,1.042,1.0916,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0002749014936314076,0.01111522786217134,0.0,0.0002589014936314076,120.0199966430664,-0.000408727553103283,4.4343101265559515e-05,118.81465209960938,0.0881819561186335,-0.1275409449255039,0,0.0,-0.0,2.643000095142556e-05,1.6024428802189066,73.24,23.28,25.83,22.72,0.00796685054753217,0.015025438535722723,0.019295557007173843
2023-04-10,1.0421,1.0917,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.160864785640044e-05,0.010926937679413662,0.0,7.560864785640044e-05,120.08999633789062,-0.0004916249530608763,4.359801307076738e-05,118.82717208862304,0.08673623805939217,-0.126502325167793,0,0.0,-0.0,2.46199645746104e-05,1.6054628463621607,73.24,23.28,25.9,22.97,0.007963545219331958,0.015016560161422119,0.01929981436926149
2023-04-11,1.0424,1.092,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00027480076944241816,0.011298388590483155,0.0,0.00025880076944241815,120.0989990234375,0.0001998346122151773,4.506762081563576e-05,118.8394200744629,0.0896355751622693,-0.12176202727524164,0,0.0,-0.0,2.4328296751749606e-05,1.6054073089166883,73.24,23.28,25.85,22.97,0.007965711206908225,0.014996027984249097,0.01929187765543282
