净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,positive_comp,negative_comp,rolling_SR,drawdown_duration,drawdown_amount,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2024-01-15,0.733,3.296,-0.27%,开放申购,开放赎回,,-0.0006064281382657244,0,0,-0.2017327291727131,0,0.0,-0.0003804492300421042,0.07616875243231168,0.5770000219345093,2.72,25.05,2.5,14.51,0.03107489072988592,0.18096791012011904
2024-01-16,0.733,3.296,0.00%,开放申购,开放赎回,,0.0,0,0,-0.2017327291727131,0,0.0,-0.0003947395687991391,0.07623924048960458,0.5789999961853027,2.72,25.05,2.5,14.82,0.030987530631323187,0.18114641359403094
2024-01-17,0.719,3.282,-1.91%,开放申购,开放赎回,,-0.004247572815533895,0,0,-0.24122933687912662,0,0.0,-0.00037930105398858906,0.07602508428927177,0.5640000104904175,2.72,25.05,2.47,14.42,0.03158797453612692,0.18407433485882346
2024-01-19,0.722,3.285,-0.55%,开放申购,开放赎回,,-0.0012161751292185663,0,0,-0.24947021850837534,0,0.0,-0.0003690971772070383,0.08165586155377617,0.5740000009536743,2.72,25.05,2.91,14.85,0.03130445927640006,0.1804273920806353
2024-01-22,0.704,3.267,-2.49%,开放申购,开放赎回,,-0.005479452054794609,0,0,-0.2916251497164679,0,0.0,-0.0004070371993917675,0.07723744771226436,0.5619999766349792,2.72,25.05,2.69,14.85,0.03234507358442781,0.18264728181478046
2024-01-23,0.709,3.272,0.71%,开放申购,开放赎回,,0.0015304560759106245,0,0,-0.2705953842409988,0,0.0,-0.0004348293427634451,0.08277329940780936,0.5630000233650208,2.72,25.05,2.69,15.67,0.03200497274331739,0.18277867064504186
2024-01-24,0.711,3.274,0.28%,开放申购,开放赎回,,0.0006112469437653534,0,0,-0.2606475931182045,0,0.0,-0.00045204289324823405,0.0831151359572416,0.5649999976158142,2.72,25.05,3.13,16.37,0.03199105319488984,0.18198719127013124
2024-01-25,0.719,3.282,1.13%,开放申购,开放赎回,,0.0024434941967013124,0,0,-0.2196440605527906,0,0.0,-0.00043918096123918884,0.08310085190523811,0.574999988079071,2.72,25.05,3.26,16.25,0.03176809971621662,0.18480905502510717
2024-01-26,0.71,3.273,-1.25%,开放申购,开放赎回,,-0.002742230347349106,0,0,-0.25153913737258315,0,0.0,-0.00046213340108642605,0.08717620346573372,0.5730000138282776,2.72,25.05,3.73,17.18,0.03184099062136654,0.18369297954439961
2024-01-29,0.699,3.262,-1.55%,开放申购,开放赎回,,-0.0033608310418576925,0,0,-0.29914134908404916,0,0.0,-0.0004473919323721473,0.09017172182002084,0.5759999752044678,2.72,25.05,4.54,17.74,0.03216152248259786,0.18410083613724373
2024-01-30,0.688,3.251,-1.57%,开放申购,开放赎回,,-0.0033721643163703297,0,0,-0.3100820954931984,0,0.0,-0.0004906408203940678,0.08813159376169111,0.5600000023841858,2.72,25.05,3.5,17.68,0.03236140356862298,0.18898190819222754
2024-01-31,0.676,3.239,-1.74%,开放申购,开放赎回,,-0.0036911719470932303,0,0,-0.33091672417180223,0,0.0,-0.0004723700386031728,0.08933745681967509,0.5529999732971191,2.72,25.05,4.15,17.72,0.032746316697591385,0.18957022150906175
2024-02-01,0.678,3.241,0.30%,开放申购,开放赎回,,0.000617474529175821,0,0,-0.323204167467102,0,0.0,-0.000497147402753095,0.09118868784019651,0.5529999732971191,2.72,25.05,4.15,18.28,0.03281455946324274,0.18932066722977853
2024-02-02,0.665,3.228,-1.92%,开放申购,开放赎回,,-0.004011107682813875,0,0,-0.33844774596472826,0,0.0,-0.0004942089301847094,0.09188672358681198,0.5519999861717224,2.72,25.05,4.32,18.44,0.03319795123823076,0.18840212538885068
2024-02-05,0.661,3.224,-0.60%,开放申购,开放赎回,,-0.0012391573729864103,0,0,-0.3937200379118748,0,0.0,-0.0005354628271597685,0.09147531601358902,0.5529999732971191,2.72,25.05,4.3,19.3,0.03301282197142413,0.1884509410717642
2024-02-06,0.688,3.251,4.08%,开放申购,开放赎回,,0.008374689826302628,0,0,-0.2992461842167907,0,0.0,-0.0005266111264648298,0.0906946368611035,0.578000009059906,2.72,25.05,3.91,18.81,0.036316069608476956,0.2044128631402572
2024-02-07,0.703,3.266,2.18%,开放申购,开放赎回,,0.004613964933866566,0,0,-0.258462344977209,0,0.0,-0.00043991971241175875,0.10578275174752497,0.5879999995231628,2.72,25.05,5.4,18.6,0.03730188261879355,0.2054487517962366
2024-02-08,0.711,3.274,1.14%,开放申购,开放赎回,,0.0024494794856093627,0,0,-0.22377815493076902,0,0.0,-0.00040206659728974747,0.11018476721593085,0.5879999995231628,2.72,25.05,6.18,18.64,0.03718822724242058,0.2020360918956734
2024-02-19,0.713,3.276,0.28%,开放申购,开放赎回,,0.0006108735491752171,0,0,-0.2279388756536135,0,0.0,-0.0003839493536353181,0.10892436148807873,0.5899999737739563,2.72,25.05,6.5,18.64,0.037225892313326965,0.2019904828438375
2024-02-20,0.713,3.276,0.00%,开放申购,开放赎回,,0.0,0,0,-0.2509428704219014,0,0.0,-0.000376808359310829,0.10914247233359865,0.5860000252723694,2.72,25.05,6.58,18.58,0.03718173239793662,0.20195001045108005
2024-02-21,0.715,3.278,0.28%,开放申购,开放赎回,,0.0006105006105006083,0,0,-0.23191764816426377,0,0.0,-0.0003590369314180609,0.10851445332563997,0.6100000143051147,2.72,25.05,6.58,18.18,0.037081454364234955,0.21401148623675664
2024-02-22,0.719,3.282,0.56%,开放申购,开放赎回,,0.0012202562538132788,0,0,-0.2100259664455209,0,0.0,-0.0004278140495591123,0.09942963887822648,0.6110000014305115,2.72,25.05,5.58,18.18,0.037088846776508325,0.21365961306508668
2024-02-23,0.721,3.284,0.28%,开放申购,开放赎回,,0.0006093845216330607,0,0,-0.2261496207089716,0,0.0,-0.00043735067746782867,0.10086298537336942,0.6110000014305115,2.72,25.05,5.82,18.72,0.03712749591036771,0.2135851674372344
2024-02-26,0.725,3.288,0.55%,开放申购,开放赎回,,0.0012180267965895553,0,0,-0.1975853153239437,0,0.0,-0.00043533941439596457,0.10111562456348153,0.6039999723434448,2.72,25.05,5.95,18.85,0.03707226986443277,0.21403137136832803
2024-02-27,0.74,3.303,2.07%,开放申购,开放赎回,,0.0045620437956204185,0,0,-0.16566086974232827,0,0.0,-0.00039057920799205495,0.09874213626184383,0.6060000061988831,2.72,25.05,5.95,17.8,0.03778469369513524,0.21404786348335011
2024-02-28,0.721,3.284,-2.57%,开放申购,开放赎回,,-0.005752346351801441,0,0,-0.21087252180744087,0,0.0,-0.00030599172438483297,0.10064627246402141,0.6000000238418579,2.72,25.05,7.58,17.8,0.03882145371907308,0.21445453389305308
2024-02-29,0.741,3.304,2.77%,开放申购,开放赎回,,0.006090133982947554,0,0,-0.15363772031532955,0,0.0,-0.0003461548600578086,0.103179179835573,0.609000027179718,2.72,25.05,7.78,18.9,0.04019401123210065,0.2138723957483009
2024-03-01,0.749,3.312,1.08%,开放申购,开放赎回,,0.002421307506053294,0,0,-0.12917999260484112,0,0.0,-0.00028848435722923267,0.1079169153238563,0.6100000143051147,2.72,25.05,8.72,18.93,0.04039101190577482,0.21219016006639355
2024-03-04,0.752,3.315,0.40%,开放申购,开放赎回,,0.0009057971014492239,0,0,-0.10990460654233153,0,0.0,-0.0002637524234947721,0.10860426774286587,0.6050000190734863,2.72,25.05,9.19,19.03,0.04039312344633934,0.2125431407044201
2024-03-05,0.752,3.315,0.00%,开放申购,开放赎回,,0.0,0,0,-0.11540893655004432,0,0.0,-0.0002524165224900274,0.10750343356172411,0.6119999885559082,2.72,25.05,9.05,18.54,0.04029061724848841,0.2134705406559837
